Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_leg_yaw_link,-0.0013541,-0.014654,0.077539,0,0,0,0.61483,0.0012242,6.7341E-07,-2.2333E-05,0.0013918,0.00022312,0.00048585,0,0,0,0,0,0,package://rel2/meshes/right_leg_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_leg_yaw_link.STL,,LGR2-2,CRL2,ARL2,right_leg_yaw_joint,revolute,0,0,0,3.1416,-1.5708,0,right_leg_roll_link,0,0,1,100,12,-1.05,1.05,,,2,2,,,,
right_leg_pitch_link,-0.002765,0.078563,-0.0082909,0,0,0,6.0357,0.051,-0.00028874,-1.0823E-05,0.0127,0.00019005,0.05573,0,0,0,0,0,0,package://rel2/meshes/right_leg_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_leg_pitch_link.STL,,LGR3A-1;LGR3B-1,CRL3,ARL3,right_leg_pitch_joint,revolute,0,0,0.1455,1.5708,0.5236,0,right_leg_yaw_link,0,0,-1,250,12,-1.31,1.57,,,2,2,,,,
right_knee_link,0.0157,0.10784,8.556E-05,0,0,0,2.2302,0.01477,0.00020115,-4.6565E-08,0.00241,2.3363E-06,0.0146,0,0,0,0,0,0,package://rel2/meshes/right_knee_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_knee_link.STL,,LGR4A-1;LGR4B-1,CRL4,ARL4,right_knee_joint,revolute,0,0.32,0,0,0,1.0472,right_leg_pitch_link,0,0,1,250,12,-1.1,1.05,,,2,2,,,,
right_ankle_pitch_link,-1.5523E-14,1.1102E-16,-8.3267E-17,0,0,0,0.099,4.4046E-06,3.1248E-22,1.5624E-21,1.8909E-05,7.8119E-23,1.8909E-05,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_link.STL,,LGR5-2,CRL5,ARL5,right_ankle_pitch_joint,revolute,0,0.32,0,3.1416,0,-0.5236,right_knee_link,0,0,1,100,12,-0.87,0.7,,,2,2,,,,
right_ankle_roll_link,-1.8693E-06,-0.033529,0.02588,0,0,0,0.34253,0.00112,-5.637E-10,1.7502E-08,0.00113,1.1636E-05,0.0002,0,0,0,0,0,0,package://rel2/meshes/right_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_roll_link.STL,,LGR6A-1;LGR6B-1,CRL6,ARL6,right_ankle_roll_joint,revolute,0,0,0,0,1.5708,0,right_ankle_pitch_link,0,0,1,100,12,-0.44,0.44,,,1,1,,,,
right_foot_ee_link,8.9303564543286E-15,0.234,0.00550000000000017,0,0,0,0.000974999999999994,4.06249999999997E-09,-1.08773355837024E-23,-1.71249832195822E-23,4.06249999999996E-09,-1.78537295082827E-23,4.06249999999997E-09,0,0,0,0,0,0,package://rel2/meshes/right_foot_ee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_foot_ee_link.STL,,Dummy-3,CRL7,ARL6,right_foot_ee_joint,fixed,0,-0.056,0,1.5708,-1.5708,0,right_ankle_roll_link,0,0,0,,,,,,,,,,,,
right_ankle_pitch_motor1_link,0.0185199298679075,-1.41358691418958E-09,0.0116728835358657,0,0,0,0.0314480424573819,3.80924031797449E-06,-6.67075057479599E-13,4.65282667470384E-07,1.26633892765921E-05,-1.67379534761284E-13,1.59281327082485E-05,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_motor1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_motor1_link.STL,,LGR51-2,CRL51,ARL51,right_ankle_pitch_motor1_joint,continuous,0.015,0.052915,-0.023,3.1416,0,2.936,right_knee_link,0,0,1,50,12,-4,4,,,1,1,,,,
right_ankle_pitch_linkage1_link,0.132239353276611,-0.00232407383158667,-2.77506471749733E-05,0,0,0,0.0667317061879009,1.41655826358082E-06,-5.88713735545714E-06,-7.02954740150546E-08,0.000477752058060212,-8.4139215389817E-09,0.000478456610524612,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_linkage1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_linkage1_link.STL,,LGR511-2,CRL511,ARL511,right_ankle_pitch_linkage1_joint,continuous,0.045,0,0,0,0,1.3474,right_ankle_pitch_motor1_link,0,0,1,50,12,-4,4,,,1,1,,,,
right_ankle_pitch_motor2_link,0.0185199270977269,3.03859581940458E-09,0.0116728837418081,0,0,0,0.031448039496321,3.80924044099764E-06,5.14121714252184E-13,4.65282732580841E-07,1.26633869907168E-05,-2.44227098944836E-13,1.59281302221021E-05,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_motor2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_motor2_link.STL,,LGR61-2,CRL61,ARL61,right_ankle_pitch_motor2_joint,continuous,0.0175,0.12287,0.023,0,0,2.9329,right_knee_link,0,0,1,50,12,-4,4,,,1,1,,,,
right_ankle_pitch_linkage2_link,0.0974724182411355,0.00211500380734675,-2.969257795786E-05,0,0,0,0.0505519374049206,1.14551959230844E-06,3.16379745891782E-06,-4.44166116226554E-08,0.000206497433391347,8.51016465366279E-09,0.000207103493369282,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_linkage2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_ankle_pitch_linkage2_link.STL,,LGR611-2,CRL611,ARL611,right_ankle_pitch_linkage2_joint,continuous,0.045,0,0,0,0,-1.3251,right_ankle_pitch_motor2_link,0,0,1,50,12,-4,4,,,1,1,,,,
right_knee_motor_link,0.00521661872503623,-5.55111512312578E-17,0.0238960267685906,0,0,0,0.115698670941231,2.96409892635174E-05,-7.6232965252887E-21,1.18463362080469E-06,4.49488266298805E-05,1.6940658945086E-21,7.12888371675707E-05,0,0,0,0,0,0,package://rel2/meshes/right_knee_motor_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_knee_motor_link.STL,,LGR41-2,CRL41,ARL41,right_knee_motor_joint,continuous,-0.006,0.1401,0,0,0,-0.043633,right_leg_pitch_link,0,0,1,250,12,-4,4,,,1,1,,,,
right_knee_linkage_link,0.0951262329787686,2.77555756156289E-17,0.0176212036276197,0,0,0,0.179427999184621,3.34555823485639E-05,-1.90582413132218E-19,9.91800378006751E-05,0.000529295144114481,6.09863722023096E-20,0.000501637553413621,0,0,0,0,0,0,package://rel2/meshes/right_knee_linkage_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/right_knee_linkage_link.STL,,LGR411-2,CRL411,ARL411,right_knee_linkage_joint,continuous,0.045,0,0,0,0,1.5811,right_knee_motor_link,0,0,1,250,12,-4,4,,,1,1,,,,
