Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_wrist_roll_link,-5.7422E-05,-0.062427,-0.00035934,0,0,0,0.63795,0.00085,3.7671E-07,-9.2328E-07,0.00052,-2.2456E-06,0.00075,0,0,0,0,0,0,package://rel2/meshes/left_wrist_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_wrist_roll_link.STL,,AML6A-1;AML6B-1,CLA6,ALA6,left_wrist_roll_joint,revolute,0,0,0,-1.5708,0,0,left_elbow_yaw_link,0,0,1,50,7,-1.92,1.92,,,1,2,,,,
left_wrist_yaw_link,2.3347E-07,-0.00026089,0.11621,0,0,0,0.083273,2.0254E-05,2.1639E-08,7.9935E-11,2.0019E-05,-6.7147E-08,3.6529E-05,0,0,0,0,0,0,package://rel2/meshes/left_wrist_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_wrist_yaw_link.STL,,AML7A-1;AML7B-1,CLA7,ALA7,left_wrist_yaw_joint,revolute,0,0,0,1.5708,0,0,left_wrist_roll_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
left_hand_ee_link,-0.00532999999998468,0.0247499999998901,-0.102449999999974,0,0,0,0.000975000000000002,4.06250000000001E-09,-1.31987080510088E-25,-7.16573494918035E-24,4.06250000000001E-09,-2.62740508391013E-25,4.06250000000001E-09,0,0,0,0,0,0,package://rel2/meshes/left_hand_ee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/left_hand_ee_link.STL,,Dummy-1,CLA8,ALA7,left_hand_ee_joint,fixed,0,0,0.1285,3.14159265358979,0,3.14159265358979,left_wrist_yaw_link,0,0,0,,,,,,,,,,,,
left_hand_link,-0.0173564189477508,0.00501676734605605,-0.0710095948441735,0,0,0,1.95631512759649,0.000871232825589331,-3.49812060290323E-05,-9.89206538572266E-05,0.00175101503896379,-2.26990654579539E-05,0.00101624798168389,0,0,0,0,0,0,package://rel2/meshes/left_hand_link.STL,0.615686274509804,0.643137254901961,0.674509803921569,1,0,0,0,0,0,0,package://rel2/meshes/left_hand_link.STL,,AML-71-1,CLA8,ALA7,left_hand_joint,fixed,0,0,0.1285,3.14159265358979,0,3.14159265358979,left_wrist_yaw_link,0,0,0,,,,,,,,,,,,
right_arm_base_link,4.3007E-05,-0.0002119,0.15272,0,0,0,0.71484,0.00067,4.4875E-09,4.4641E-07,0.00067,3.3288E-07,0.00061,0,0,0,0,0,0,package://rel2/meshes/right_arm_base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_arm_base_link.STL,,AMR0A-1;AMR0B-1,CRA0,ARA1,right_arm_base_joint,fixed,0,0,0.2885,1.5708,-1.5708,0,map,0,0,0,,,,,,,,,,,,
right_shoulder_pitch_link,-1.5908E-05,0.0038729,-0.012191,0,0,0,0.90505,0.00147,-5.5323E-07,-8.8712E-06,0.00137,4.0089E-06,0.00096,0,0,0,0,0,0,package://rel2/meshes/right_shoulder_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_shoulder_pitch_link.STL,,AMR1A-1;AMR1B-1,CRA1,ARA1,right_shoulder_pitch_joint,revolute,0,0,0.2635,0,0,0,right_arm_base_link,0,0,1,80,7,-1.4,3.14,,,1,2,,,,
right_shoulder_roll_link,5.3331E-05,-0.065465,-0.00044443,0,0,0,0.72803,0.00149,-5.2488E-07,-9.7929E-07,0.00076,1.7642E-07,0.00137,0,0,0,0,0,0,package://rel2/meshes/right_shoulder_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_shoulder_roll_link.STL,,AMR2A-1;AMR2B-1,CRA2,ARA2,right_shoulder_roll_joint,revolute,0,0,0,1.5708,-1.5708,0,right_shoulder_pitch_link,0,0,-1,80,7,-0.37,2.79,,,1,2,,,,
right_arm_yaw_link,-0.00088723,-0.0040764,-0.011947,0,0,0,0.67669,0.00089,7.5046E-07,-4.8243E-06,0.0008,2.322E-08,0.00051,0,0,0,0,0,0,package://rel2/meshes/right_arm_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_arm_yaw_link.STL,,AMR3A-1;AMR3B-1,CRA3,ARA3,right_arm_yaw_joint,revolute,0,-0.1905,0,1.5708,1.5708,0,right_shoulder_roll_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
right_elbow_pitch_link,-5.6114E-05,0.063356,-0.00046067,0,0,0,0.64824,0.00088,-4.4996E-07,9.4198E-07,0.00053,-2.5324E-07,0.00077,0,0,0,0,0,0,package://rel2/meshes/right_elbow_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_elbow_pitch_link.STL,,AMR4A-1;AMR4B-1,CRA4,ARA4,right_elbow_pitch_joint,revolute,0,0,0,1.5708,0,0,right_arm_yaw_link,0,0,1,50,7,-2.18,0.26,,,1,2,,,,
right_elbow_yaw_link,9.9183E-05,-0.0042397,-0.0078479,0,0,0,0.6519,0.00065,3.7211E-08,1.0437E-06,0.00056,5.4065E-07,0.00047,0,0,0,0,0,0,package://rel2/meshes/right_elbow_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_elbow_yaw_link.STL,,AMR5A-1;AMR5B-1,CRA5,ARA5,right_elbow_yaw_joint,revolute,0,0.16,0,-1.5708,0,0,right_elbow_pitch_link,0,0,1,50,7,-2.09,2.09,,,1,2,,,,
